company,industry
4578,医薬品
4927,化学
3644,情報・通信
6050,サービス業
7818,その他製品
3165,卸売業
7148,証券業
2198,サービス業
3163,小売業
3640,情報・通信
3641,情報・通信
3639,情報・通信
3161,卸売業
8750,保険業
4577,医薬品
8283,卸売業
7776,精密機器
3160,卸売業
2196,サービス業
8715,保険業
3169,小売業
3170,小売業
9206,空運業
4583,医薬品
4977,化学
6055,サービス業
6619,電気機器
3659,情報・通信
3277,不動産業
6054,サービス業
1383,水産・農林業
3658,情報・通信
3444,金属製品
3657,情報・通信
7777,精密機器
3276,不動産業
4582,医薬品
3656,情報・通信
6052,サービス業
3654,情報・通信
3653,情報・通信
4579,医薬品
1909,機械
6626,電気機器
2882,食料品
3652,情報・通信
3275,不動産業
3168,卸売業
6626,電気機器
4579,医薬品
3649,情報・通信
6051,サービス業
3274,不動産業
3648,情報・通信
2229,食料品
3646,情報・通信
3261,不動産業
6072,サービス業
3179,小売業
6165,機械
2931,食料品
7164,その他金融業
3669,情報・通信
3178,小売業
4929,化学
3668,情報・通信
4585,医薬品
3667,情報・通信
3666,情報・通信
6071,サービス業
4584,医薬品
3280,不動産業
6070,サービス業
3177,小売業
3176,卸売業
3896,パルプ・紙
6069,サービス業
9386,倉庫・運輸関連業
6067,サービス業
3175,小売業
9201,空運業
6065,サービス業
3665,情報・通信
9419,情報・通信
6064,サービス業
3664,情報・通信
3174,小売業
6618,電気機器
6063,サービス業
2930,食料品
6062,サービス業
6061,サービス業
6060,サービス業
6059,サービス業
3662,情報・通信
6058,サービス業
7157,保険業
3661,情報・通信
3173,卸売業
3660,情報・通信
3172,小売業
3171,小売業
6090,サービス業
6086,サービス業
7167,銀行業
4245,化学
6089,サービス業
6085,サービス業
6087,サービス業
3294,不動産業
6088,サービス業
3293,不動産業
1429,建設業
6084,サービス業
3682,情報・通信
3681,情報・通信
3680,情報・通信
4588,医薬品
6082,サービス業
6081,サービス業
3679,情報・通信
3678,情報・通信
6080,サービス業
3189,小売業
3677,情報・通信
6079,サービス業
6078,サービス業
5698,鉄鋼
3288,不動産業
3187,小売業
6077,サービス業
6076,サービス業
3186,小売業
6075,サービス業
2587,食料品
3184,小売業
6074,サービス業
4978,化学
6248,機械
4587,医薬品
3674,情報・通信
1420,建設業
1419,建設業
3673,情報・通信
6073,サービス業
7215,輸送用機器
9025,陸運業
2588,食料品
3672,情報・通信
3182,小売業
3671,情報・通信
3670,情報・通信
3181,小売業
3180,卸売業
4586,医薬品
